country,average_price,lowest_price,highest_price
Austria,2355.7124683544303,2355.7124683544303,2355.7124683544303
Belgium,2426.448,2426.448,2426.448
Bulgaria,753.8647201269238,753.8647201269238,753.8647201269238
Croatia,1073.6347578361915,1073.6347578361915,1073.6347578361915
Cyprus,1448.2592592592594,1448.2592592592594,1448.2592592592594
Czech Republic,1447.8998988744577,1447.8998988744577,1447.8998988744577
Denmark,3323.6420016157663,3323.6420016157663,3323.6420016157663
Estonia,1432.278524590164,1432.278524590164,1432.278524590164
Finland,2663.887385964912,2663.887385964912,2663.887385964912
France,2302.848979193206,2302.848979193206,2302.848979193206
Germany,2777.0616700930004,2777.0616700930004,2777.0616700930004
Greece,861.4485923423424,861.4485923423424,861.4485923423424
Hungary,875.7349706755203,875.7349706755203,875.7349706755203
Ireland,2851.1990263605435,2851.1990263605435,2851.1990263605435
Italy,1571.8105370632672,1571.8105370632672,1571.8105370632672
Latvia,980.536757718497,980.536757718497,980.536757718497
Lithuania,1146.3107462686569,1146.3107462686569,1146.3107462686569
Luxembourg,4724.037037037037,4724.037037037037,4724.037037037037
Malta,1440.4566210045664,1440.4566210045664,1440.4566210045664
Netherlands,3254.151097849469,3254.151097849469,3254.151097849469
Poland,1209.3775421570697,1209.3775421570697,1209.3775421570697
Portugal,1038.6411498607024,1038.6411498607024,1038.6411498607024
Romania,724.5780198128276,724.5780198128276,724.5780198128276
Slovakia,1029.7711388888888,1029.7711388888888,1029.7711388888888
Slovenia,1296.45825,1296.45825,1296.45825
Spain,1767.6560189877894,1767.6560189877894,1767.6560189877894
Sweden,2488.5217908903755,2488.5217908903755,2488.5217908903755
