country,average_price,lowest_price,highest_price
Austria,832.3695804195804,600.0,1200.0
Belgium,815.8063676470588,650.0,1100.0
Bulgaria,354.6880363495891,220.01589779068613,613.9978542995892
Croatia,501.1947776597476,331.70447058163825,793.7068482523813
Cyprus,940.6880740590894,500.0,1800.0
Czech Republic,655.1776733588055,473.610999022588,1120.072607729347
Denmark,1028.2547460367994,670.503817685446,1944.4610712877932
Estonia,543.5967741935484,350.0,800.0
Finland,784.2642857142857,600.0,1200.0
France,714.9688089026462,500.0,1329.878048780488
Germany,815.575505758814,520.0,1500.0
Greece,420.4528349650349,270.0,700.0
Hungary,426.4149223589472,315.97316229576234,658.2774214495049
Ireland,1471.5027472527472,950.0,2100.0
Italy,664.5277349859155,450.0,1427.948717948718
Latvia,388.2558139534884,220.0,650.0
Lithuania,626.2405063291139,400.0,900.0
Luxembourg,1590.0192307692307,1266.0,2000.0
Malta,900.8163265306124,700.0,1300.0
Netherlands,1196.690561577381,900.0,1800.0
Poland,659.4789965084478,460.7340294878807,967.5414619245496
Portugal,773.78283734375,500.0,1300.0
Romania,347.26691956885395,222.01823774994503,600.0
Slovakia,517.8061224489796,364.44444444444446,800.0
Slovenia,597.9969692307692,358.76359999999994,900.0
Spain,756.0885160714287,500.0,1200.0
Sweden,787.9307620866248,513.877327801522,1358.5086795325287
