country,average_price,lowest_price,highest_price
Austria,672.5398601398601,500.0,950.0
Belgium,686.52536,550.0,900.0
Bulgaria,266.1252402632995,153.4994635748973,409.3319028663928
Croatia,386.4699620712841,263.43239692172926,600.0
Cyprus,774.0331839288635,450.0,1400.0
Czech Republic,530.4609108674108,391.2438687577901,823.6713026479792
Denmark,756.4024704885269,500.0,1341.007635370892
Estonia,408.5892857142857,250.0,600.0
Finland,646.3947328244275,500.0,950.0
France,575.2406779661017,400.0,935.7894736842104
Germany,618.3020695102686,400.0,1114.7083333333333
Greece,350.65055762081784,250.0,600.0
Hungary,345.00731534149344,236.97987172182172,526.6219371596039
Ireland,1249.6198830409355,800.0,1900.0
Italy,512.8757396449704,350.0,912.7073170731708
Latvia,275.0,180.0,370.0
Lithuania,396.8939393939394,250.0,600.0
Luxembourg,1283.1521739130435,1000.0,1700.0
Malta,749.5402298850574,550.0,1000.0
Netherlands,964.4997049698796,699.1445454545454,1500.0
Poland,525.1170688235752,345.5505221159105,783.2478501293972
Portugal,598.8423416370107,400.0,950.0
Romania,267.2088407450605,161.4678092726873,403.6695231817183
Slovakia,423.89473684210526,300.0,600.0
Slovenia,475.4761904761905,300.0,800.0
Spain,615.2491766984537,420.0,1000.0
Sweden,592.88448437146,361.01731391128175,1056.6360407159466
