Country,Age,Employment,EdLevel,DevCategory,DevType,CompTotal,CompRange
Finland,45-54,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",System administrator,60000.0,50k-100k
Netherlands,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",175000.0,100k-200k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",100000.0,100k-200k
France,25-34,Employed,Master,Software Development Roles,"Developer, front-end",55000.0,50k-100k
Germany,25-34,Employed,PhD,Data Science and Analysis Roles,Data scientist or machine learning specialist,80000.0,50k-100k
Germany,25-34,Employed,PhD,Data Science and Analysis Roles,Data or business analyst,65000.0,50k-100k
Spain,35-44,Employed,Master,Software Development Roles,"Developer, back-end",35000.0,0-50k
Belgium,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",64831.26519337016,50k-100k
Italy,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",46858.40754716981,0-50k
Spain,35-44,Employed,PhD,Software Development Roles,"Developer, back-end",70000.0,50k-100k
Portugal,25-34,Employed,Master,Software Development Roles,"Developer, front-end",70000.0,50k-100k
Italy,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",40000.0,0-50k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",50408.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",77000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",80975.01548387097,50k-100k
Netherlands,18-24,Employed,Bachelor,Software Development Roles,"Developer, full-stack",36000.0,0-50k
Belgium,45-54,Employed,Bachelor,Software Development Roles,"Developer, full-stack",64831.26519337016,50k-100k
Italy,25-34,Employed,Master,Specialized Technical Roles,Security professional,120000.0,100k-200k
France,45-54,Freelancer,Master,Software Development Roles,"Developer, back-end",61573.302305721605,50k-100k
Finland,35-44,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Product manager,65000.0,50k-100k
France,35-44,Freelancer,PhD,Software Development Roles,"Developer, full-stack",40000.0,0-50k
Latvia,35-44,Employed,PhD,Software Development Roles,"Developer, front-end",50000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",80800.0,50k-100k
Greece,25-34,Freelancer,Master,Software Development Roles,"Developer, full-stack",28800.0,0-50k
Belgium,25-34,Employed,Master,Software Development Roles,"Developer, back-end",68326.91558441559,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
France,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
Latvia,25-34,Employed,PhD,Software Development Roles,"Developer, full-stack",37200.0,0-50k
Croatia,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",2200.0,0-50k
Germany,45-54,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",90000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Latvia,25-34,Employed,Master,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",96000.0,50k-100k
Slovenia,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",140000.0,100k-200k
Portugal,35-44,Employed,Master,"Management, Leadership, and Advocacy Roles",Developer Experience,65000.0,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75647.9641025641,50k-100k
Austria,25-34,Employed,Master,Software Development Roles,"Developer, front-end",56000.0,50k-100k
Belgium,25-34,Employed,PhD,Software Development Roles,"Developer, full-stack",50000.0,50k-100k
Belgium,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",39000.0,0-50k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",66604.0,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",75647.9641025641,50k-100k
Austria,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",58800.0,50k-100k
Spain,18-24,Employed,Bachelor,Software Development Roles,"Developer, full-stack",25000.0,0-50k
Italy,35-44,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",61000.0,50k-100k
Luxembourg,18-24,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,103074.07407407407,100k-200k
Netherlands,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",3000.0,0-50k
Belgium,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",50000.0,50k-100k
Netherlands,35-44,Freelancer,Master,Software Development Roles,"Developer, mobile",120000.0,100k-200k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",52000.0,50k-100k
