country,flag
Austria,./img/flags/austria.png
Belgium,./img/flags/belgium.png
Bulgaria,./img/flags/bulgaria.png
Croatia,./img/flags/croatia.png
Cyprus,./img/flags/cyprus.png
Czech Republic,./img/flags/czech-republic.png
Denmark,./img/flags/denmark.png
Estonia,./img/flags/estonia.png
Finland,./img/flags/finland.png
France,./img/flags/france.png
Germany,./img/flags/germany.png
Greece,./img/flags/greece.png
Hungary,./img/flags/hungary.png
Ireland,./img/flags/ireland.png
Italy,./img/flags/italy.png
Latvia,./img/flags/latvia.png
Lithuania,./img/flags/lithuania.png
Luxembourg,./img/flags/luxembourg.png
Malta,./img/flags/malta.png
Netherlands,./img/flags/netherlands.png
Poland,./img/flags/poland.png
Portugal,./img/flags/portugal.png
Romania,./img/flags/romania.png
Slovakia,./img/flags/slovakia.png
Slovenia,./img/flags/slovenia.png
Spain,./img/flags/spain.png
Sweden,./img/flags/sweden.png
