country,quality_of_life_index,purchasing_power_incl_rent_index,rent_index,health_care_index,safety_index
Austria,85.77624249488143,79.70674721148674,68.12228395665292,95.41461691803158,93.7021159091195
Belgium,70.17791904870852,75.69681031871528,73.07326695562746,93.43973976414064,67.55472091098099
Bulgaria,55.23256682830823,96.52581807151964,99.63048957046459,68.2697199689585,82.51202115233485
Croatia,75.79295322619936,92.7297012437375,91.73406151522424,79.27663850898861,97.46915091545964
Cyprus,64.74582939006525,93.99335455731486,58.89188947173886,66.40952362686846,88.4630244399932
Czech Republic,75.73517615773247,86.64229313091806,81.41776655419076,94.00067449400552,96.47293761978682
Denmark,93.64730089952175,69.79778523728001,57.67223810629673,97.92414595498676,97.0720892213451
Estonia,85.30982394794728,87.08323266973295,88.86936851067739,94.80598076278989,100.0
Finland,91.97437323046017,72.08449032446998,73.28970580346237,96.82698941186112,96.92715095775685
France,68.80569315416861,78.96618077503895,72.8349485211391,98.05022563949709,60.0
Germany,83.38274619458291,69.59173890241843,69.05103592476041,88.61532607951439,80.9395689872891
Greece,53.40158530801812,100.0,93.484720086954,68.00795745912974,70.76620948331626
Hungary,55.37468169397609,96.71328470438459,94.67478601270956,63.506555056766686,87.60391777296705
Ireland,69.67490010573559,78.14528236467294,31.203826091313534,60.0,71.32594064264471
Italy,61.13401907051037,88.6235348584656,79.9109980372194,80.1681397496045,70.05690393936041
Latvia,68.53994788812997,95.80348773261089,97.03159563321884,76.20160338504427,82.81689886199955
Lithuania,74.28166110065202,92.85647615683177,84.81584795675361,91.46343689624064,88.52418641952208
Luxembourg,99.77261007314264,50.0,25.0,95.3321889722168,85.5981442307305
Malta,50.0,93.03407287027846,64.34262346436319,60.950225474866045,78.48459750686047
Netherlands,100.0,65.50200939763045,51.939082591634005,100.0,97.56580898799936
Poland,60.29642332687984,89.43724215305777,81.36898219272663,68.9944400102191,92.72021314602146
Portugal,79.37570637702561,95.77699620369197,74.66289229818003,91.3236257515444,91.38931856238199
Romania,54.05198094914333,96.43304840179579,100.0,66.68442901891305,86.63342525062485
Slovakia,66.86006238969647,93.90518170328616,89.94211750341194,70.8662702047368,91.10429084667392
Slovenia,79.88998889904214,90.31971791245968,82.4381546431546,81.32277866415379,99.60603097338173
Spain,84.62280674506802,79.2771184563008,75.97184503721581,96.96023625575027,84.20587818185439
Sweden,83.33611934705792,71.73148488521531,75.33775174555939,84.23668838636964,68.90196882289007
