Country,Language,Count
Austria,Apex,9
Austria,Assembly,22
Austria,Bash/Shell (all shells),264
Austria,C,134
Austria,C#,223
Austria,C++,150
Austria,Clojure,7
Austria,Cobol,2
Austria,Crystal,3
Austria,Dart,38
Austria,Delphi,29
Austria,Elixir,16
Austria,Erlang,8
Austria,F#,8
Austria,Fortran,6
Austria,GDScript,2
Austria,Go,83
Austria,Groovy,39
Austria,HTML/CSS,385
Austria,Haskell,10
Austria,Java,235
Austria,JavaScript,432
Austria,Julia,5
Austria,Kotlin,93
Austria,Lisp,10
Austria,Lua,35
Austria,MATLAB,19
Austria,Nim,3
Austria,OCaml,1
Austria,Objective-C,14
Austria,PHP,167
Austria,Perl,21
Austria,PowerShell,117
Austria,Prolog,4
Austria,Python,316
Austria,R,45
Austria,Raku,4
Austria,Ruby,30
Austria,Rust,85
Austria,SAS,3
Austria,SQL,380
Austria,Scala,16
Austria,Solidity,4
Austria,Swift,37
Austria,TypeScript,312
Austria,VBA,32
Austria,Visual Basic (.Net),30
Austria,Zig,11
Belgium,Ada,5
Belgium,Apex,6
Belgium,Assembly,23
Belgium,Bash/Shell (all shells),230
Belgium,C,79
Belgium,C#,194
Belgium,C++,103
Belgium,Clojure,4
Belgium,Cobol,8
Belgium,Dart,35
Belgium,Delphi,27
Belgium,Elixir,17
Belgium,Erlang,10
Belgium,F#,6
Belgium,Flow,2
Belgium,Fortran,7
Belgium,GDScript,6
Belgium,Go,52
Belgium,Groovy,30
Belgium,HTML/CSS,379
Belgium,Haskell,11
Belgium,Java,205
Belgium,JavaScript,417
Belgium,Julia,9
Belgium,Kotlin,56
Belgium,Lisp,10
Belgium,Lua,40
Belgium,MATLAB,18
Belgium,Nim,2
Belgium,OCaml,3
Belgium,Objective-C,22
Belgium,PHP,149
Belgium,Perl,20
Belgium,PowerShell,103
Belgium,Prolog,9
Belgium,Python,288
Belgium,R,28
Belgium,Raku,2
Belgium,Ruby,31
Belgium,Rust,58
Belgium,SAS,2
Belgium,SQL,382
Belgium,Scala,16
Belgium,Solidity,5
Belgium,Swift,24
Belgium,TypeScript,289
Belgium,VBA,28
Belgium,Visual Basic (.Net),28
Belgium,Zig,2
Bulgaria,Assembly,2
Bulgaria,Bash/Shell (all shells),5
Bulgaria,C,5
Bulgaria,C#,4
Bulgaria,C++,4
Bulgaria,Dart,1
Bulgaria,Delphi,1
Bulgaria,Elixir,1
Bulgaria,Erlang,1
Bulgaria,Fortran,1
Bulgaria,Go,1
Bulgaria,Groovy,1
Bulgaria,HTML/CSS,13
Bulgaria,Java,3
Bulgaria,JavaScript,15
Bulgaria,Kotlin,2
Bulgaria,Lua,2
Bulgaria,Objective-C,1
Bulgaria,PHP,5
Bulgaria,Prolog,1
Bulgaria,Python,10
Bulgaria,R,1
Bulgaria,Ruby,1
Bulgaria,Rust,3
Bulgaria,SQL,11
Bulgaria,Swift,2
Bulgaria,TypeScript,5
Croatia,Ada,1
Croatia,Apex,2
Croatia,Assembly,10
Croatia,Bash/Shell (all shells),60
Croatia,C,20
Croatia,C#,73
Croatia,C++,22
Croatia,Clojure,2
Croatia,Dart,16
Croatia,Delphi,12
Croatia,Elixir,8
Croatia,Erlang,1
Croatia,Fortran,1
Croatia,GDScript,1
Croatia,Go,22
Croatia,Groovy,10
Croatia,HTML/CSS,109
Croatia,Haskell,2
Croatia,Java,61
Croatia,JavaScript,143
Croatia,Kotlin,22
Croatia,Lisp,3
Croatia,Lua,9
Croatia,MATLAB,6
Croatia,Objective-C,4
Croatia,PHP,35
Croatia,Perl,4
Croatia,PowerShell,35
Croatia,Python,66
Croatia,R,4
Croatia,Ruby,6
Croatia,Rust,23
Croatia,SAS,1
Croatia,SQL,108
Croatia,Scala,5
Croatia,Solidity,5
Croatia,Swift,13
Croatia,TypeScript,86
Croatia,VBA,4
Croatia,Visual Basic (.Net),7
Czech Republic,Assembly,4
Czech Republic,Bash/Shell (all shells),11
Czech Republic,C,9
Czech Republic,C#,11
Czech Republic,C++,12
Czech Republic,Clojure,1
Czech Republic,Crystal,1
Czech Republic,Dart,1
Czech Republic,Elixir,1
Czech Republic,F#,2
Czech Republic,Go,9
Czech Republic,Groovy,3
Czech Republic,HTML/CSS,20
Czech Republic,Haskell,3
Czech Republic,Java,8
Czech Republic,JavaScript,21
Czech Republic,Julia,1
Czech Republic,Kotlin,4
Czech Republic,Lua,4
Czech Republic,MATLAB,1
Czech Republic,PHP,6
Czech Republic,Perl,4
Czech Republic,PowerShell,3
Czech Republic,Prolog,1
Czech Republic,Python,19
Czech Republic,Ruby,4
Czech Republic,Rust,6
Czech Republic,SQL,15
Czech Republic,Scala,1
Czech Republic,Swift,1
Czech Republic,TypeScript,15
Czech Republic,Visual Basic (.Net),2
Czech Republic,Zig,1
Denmark,Bash/Shell (all shells),4
Denmark,C,2
Denmark,C#,2
Denmark,C++,2
Denmark,Delphi,1
Denmark,Go,1
Denmark,HTML/CSS,3
Denmark,Java,1
Denmark,JavaScript,6
Denmark,Lua,1
Denmark,PHP,4
Denmark,Python,5
Denmark,Ruby,1
Denmark,Rust,1
Denmark,SQL,4
Denmark,TypeScript,5
Denmark,VBA,1
Estonia,Apex,1
Estonia,Assembly,7
Estonia,Bash/Shell (all shells),51
Estonia,C,22
Estonia,C#,34
Estonia,C++,22
Estonia,Clojure,2
Estonia,Dart,8
Estonia,Delphi,5
Estonia,Elixir,17
Estonia,Erlang,3
Estonia,F#,1
Estonia,Fortran,1
Estonia,GDScript,4
Estonia,Go,19
Estonia,Groovy,10
Estonia,HTML/CSS,102
Estonia,Haskell,1
Estonia,Java,64
Estonia,JavaScript,127
Estonia,Julia,2
Estonia,Kotlin,15
Estonia,Lisp,3
Estonia,Lua,3
Estonia,MATLAB,4
Estonia,Objective-C,3
Estonia,PHP,45
Estonia,Perl,4
Estonia,PowerShell,21
Estonia,Python,65
Estonia,R,2
Estonia,Ruby,12
Estonia,Rust,16
Estonia,SQL,99
Estonia,Scala,5
Estonia,Solidity,1
Estonia,Swift,9
Estonia,TypeScript,83
Estonia,VBA,1
Estonia,Visual Basic (.Net),1
Finland,Ada,2
Finland,Apex,4
Finland,Assembly,25
Finland,Bash/Shell (all shells),203
Finland,C,79
Finland,C#,134
Finland,C++,89
Finland,Clojure,33
Finland,Cobol,2
Finland,Dart,17
Finland,Delphi,15
Finland,Elixir,14
Finland,Erlang,5
Finland,F#,2
Finland,Flow,2
Finland,Fortran,5
Finland,GDScript,7
Finland,Go,64
Finland,Groovy,22
Finland,HTML/CSS,277
Finland,Haskell,9
Finland,Java,144
Finland,JavaScript,344
Finland,Julia,1
Finland,Kotlin,45
Finland,Lisp,10
Finland,Lua,27
Finland,MATLAB,11
Finland,Objective-C,8
Finland,PHP,88
Finland,Perl,18
Finland,PowerShell,70
Finland,Python,267
Finland,R,21
Finland,Ruby,34
Finland,Rust,65
Finland,SQL,282
Finland,Scala,20
Finland,Solidity,1
Finland,Swift,19
Finland,TypeScript,241
Finland,VBA,14
Finland,Visual Basic (.Net),8
France,APL,4
France,Ada,55
France,Apex,16
France,Assembly,115
France,Bash/Shell (all shells),840
France,C,444
France,C#,452
France,C++,469
France,Clojure,31
France,Cobol,16
France,Crystal,10
France,Dart,121
France,Delphi,60
France,Elixir,63
France,Erlang,25
France,F#,13
France,Flow,6
France,Fortran,32
France,GDScript,37
France,Go,279
France,Groovy,98
France,HTML/CSS,1189
France,Haskell,31
France,Java,663
France,JavaScript,1410
France,Julia,20
France,Kotlin,185
France,Lisp,38
France,Lua,110
France,MATLAB,77
France,Nim,9
France,OCaml,75
France,Objective-C,46
France,PHP,575
France,Perl,74
France,PowerShell,265
France,Prolog,28
France,Python,1046
France,R,80
France,Raku,2
France,Ruby,154
France,Rust,270
France,SAS,7
France,SQL,1093
France,Scala,102
France,Solidity,26
France,Swift,99
France,TypeScript,961
France,VBA,83
France,Visual Basic (.Net),61
France,Zig,13
Germany,APL,6
Germany,Ada,26
Germany,Apex,31
Germany,Assembly,196
Germany,Bash/Shell (all shells),1927
Germany,C,862
Germany,C#,1265
Germany,C++,1096
Germany,Clojure,65
Germany,Cobol,31
Germany,Crystal,19
Germany,Dart,272
Germany,Delphi,277
Germany,Elixir,117
